,Population,Election Date,Winner/Notes
Sunrise,95458,11/03/2020,
Tamarac,66054,11/03/2020,
Weston,71210,11/03/2020,
Hawaii
Honolulu,974563,11/03/2020,
Kansas
Leawood,34689,11/03/2020,
Kentucky
Bowling Green,68401,11/03/2020,
Covington,40366,11/03/2020,
Frankfort,27679,11/03/2020,
Owensboro,59809,11/03/2020,
Louisiana
Baton Rouge,221599,11/03/2020,
Maryland
Baltimore,602495,11/03/2020,
Hagerstown,40205,11/03/2020,
Michigan
Ann Arbor,121890,11/03/2020,
Charter Township of Orion,39518,11/03/2020,
Minnesota
Andover,33072,11/03/2020,
Blaine,65212,11/03/2020,
Burnsville,61203,11/03/2020,
Cottage Grove,37208,11/03/2020,
Edina,52490,11/03/2020,
Lakeville,65877,11/03/2020,
Shakopee,41362,11/03/2020,
St. Cloud,68043,11/03/2020,
North Carolina
High Point,112316,11/03/2020,
Winston-Salem,246328,11/03/2020,
Nebraska
Kearney,33761,11/03/2020,
New Jersey
East Brunswick Township,48010,11/03/2020,
Elizabeth,128885,11/03/2020,
Howell Township,52114,11/03/2020,
Perth Amboy,51928,11/03/2020,
Piscataway,56923,11/03/2020,
Pleasantville,20376,11/03/2020,
Princeton,31386,11/03/2020,
Vineland,59966,11/03/2020,
Washington Township,47517,11/03/2020,
New Mexico
Hobbs,38277,11/03/2020,
Nevada
Carson City,55414,11/03/2020,
Oklahoma
Tulsa,400669,11/03/2020,
Oregon
Albany,54453,11/03/2020,
Eugene,171245,11/03/2020,
Hillsboro,108389,11/03/2020,
Keizer,39692,11/03/2020,
Lake Oswego,39532,11/03/2020,
McMinnville,34617,11/03/2020,
Medford,82347,11/03/2020,
Redmond,30914,11/03/2020,
Puerto Rico
Aguada,36621,11/03/2020,
Aguadilla,50574,11/03/2020,
Arecibo,82099,11/03/2020,
Barranquitas,27499,11/03/2020,
Bayamn,170366,11/03/2020,
Cabo Rojo,47136,11/03/2020,
Caguas,124344,11/03/2020,
Camuy,30456,11/03/2020,
Canovanas,47648,11/03/2020,
Carolina,147542,11/03/2020,
Cayey,42326,11/03/2020,
Cidra,38219,11/03/2020,
Coamo,37849,11/03/2020,
Corozal,32259,11/03/2020,
Dorado,35761,11/03/2020,
Fajardo,29687,11/03/2020,
Guayama,39284,11/03/2020,
Guaynabo,83775,11/03/2020,
Gurabo,46066,11/03/2020,
Hatillo,38821,11/03/2020,
Humacao,50646,11/03/2020,
Isabela,40259,11/03/2020,
Juana Daz,44535,11/03/2020,
Juncos,37708,11/03/2020,
Lares,24481,11/03/2020,
Las Piedras,36519,11/03/2020,
Manat,37359,11/03/2020,
Mayaguez,70463,11/03/2020,
Moca,34848,11/03/2020,
Naranjito,27180,11/03/2020,
Ponce,133052,11/03/2020,
Ro Grande,47839,11/03/2020,
Salinas,27087,11/03/2020,
San Germn,30239,11/03/2020,
San Juan,320761,11/03/2020,
San Lorenzo,35904,11/03/2020,
San Sebastin,35659,11/03/2020,
Toa Alta,71008,11/03/2020,
Toa Baja,74582,11/03/2020,
Trujillo Alto,63721,11/03/2020,
Utuado,27502,11/03/2020,
Vega Alta,35782,11/03/2020,
Vega Baja,50136,11/03/2020,
Yabucoa,32254,11/03/2020,
Yauco,33853,11/03/2020,
Rhode Island
Central Falls,19398,11/03/2020,
Cranston,81274,11/03/2020,
Cumberland,34977,11/03/2020,
North Providence,32559,11/03/2020,
Pawtucket,71847,11/03/2020,
Warwick,80847,11/03/2020,
Woonsocket,41603,11/03/2020,
South Carolina
Florence,37625,11/03/2020,
Sumter,39656,11/03/2020,
Tennessee
Collierville,50616,11/03/2020,
Hendersonville,57576,11/03/2020,
Texas
Abilene,122999,11/03/2020,
Allen,103383,11/03/2020,
Carrollton,136879,11/03/2020,
Cedar Park,76999,11/03/2020,
Cleburne,30720,11/03/2020,
Conroe,87654,11/03/2020,
Corpus Christi,326554,11/03/2020,
Denton,138541,11/03/2020,
Duncanville,39364,11/03/2020,
Euless,57346,11/03/2020,
Farmers Branch,40209,11/03/2020,
Frisco,188170,11/03/2020,
Galveston,50457,11/03/2020,
Garland,242507,11/03/2020,
Georgetown,74180,11/03/2020,
Hurst,38992,11/03/2020,
Irving,242242,11/03/2020,
Keller,47350,11/03/2020,
Killeen,149103,11/03/2020,
Kyle,46874,11/03/2020,
Lubbock,255885,11/03/2020,
Missouri City,74705,11/03/2020,
New Braunfels,84612,11/03/2020,
North Richland Hills,70836,11/03/2020,
Odessa,120568,11/03/2020,
Pearland,122149,11/03/2020,
Round Rock,128739,11/03/2020,
San Juan,37154,11/03/2020,
San Marcos,63509,11/03/2020,
